index,p_die
0,0.00629741197472639
1,0.00530591433396451
2,0.00431441669320262
3,0.00332291905244073
4,0.00233142141167885
5,0.00133992377091696
6,0.00129415000578534
7,0.00124837624065372
8,0.0012026024755221
9,0.00115682871039048
10,0.00111105494525886
11,0.00117699982905771
12,0.00124294471285656
13,0.00130888959665541
14,0.00137483448045427
15,0.00144077936425312
16,0.00173145183812454
17,0.00202212431199596
18,0.00231279678586738
19,0.0026034692597388
20,0.00289414173361022
21,0.00327447981221643
22,0.00365481789082264
23,0.00403515596942885
24,0.00441549404803506
25,0.00479583212664127
26,0.00505640970368056
27,0.00531698728071985
28,0.00557756485775914
29,0.00583814243479843
30,0.00609872001183772
31,0.0062376663283019
32,0.00637661264476609
33,0.00651555896123027
34,0.00665450527769445
35,0.00679345159415864
36,0.00695753852423641
37,0.00712162545431418
38,0.00728571238439196
39,0.00744979931446973
40,0.0076138862445475
41,0.00798862645421411
42,0.00836336666388072
43,0.00873810687354732
44,0.00911284708321393
45,0.00948758729288054
46,0.0102804085997966
47,0.0110732299067127
48,0.0118660512136288
49,0.0126588725205449
50,0.013451693827461
51,0.0149404208297343
52,0.0164291478320075
53,0.0179178748342808
54,0.0194066018365541
55,0.0208953288388274
56,0.0235043030239629
57,0.0261132772090984
58,0.0287222513942339
59,0.0313312255793694
60,0.0339401997645049
61,0.0383249890078125
62,0.0427097782511202
63,0.0470945674944279
64,0.0514793567377355
65,0.0558641459810432
66,0.0629742342936379
67,0.0700843226062326
68,0.0771944109188274
69,0.0843044992314221
70,0.0914145875440168
71,0.102448679581175
72,0.113482771618333
73,0.124516863655491
74,0.13555095569265
75,0.146585047729808
76,0.162675903952826
77,0.178766760175844
78,0.194857616398863
79,0.210948472621881
80,0.227039328844899
81,0.248535181844254
82,0.270031034843608
83,0.291526887842962
84,0.313022740842316
85,0.334518593841671
86,0.360119992295427
87,0.385721390749183
88,0.411322789202939
89,0.436924187656695
90,0.462525586110451
91,0.489163054009827
92,0.515800521909202
93,0.542437989808578
94,0.569075457707954
95,0.59571292560733
96,0.619804111096982
97,0.643895296586634
98,0.667986482076285
99,0.692077667565937
100,0.716168853055589
101,0.735348172849166
102,0.754527492642744
103,0.773706812436321
104,0.792886132229898
105,0.812065452023475
106,0.825842504839
107,0.839619557654526
108,0.853396610470051
109,0.867173663285576
110,0.880950716101101
111,0.891780795803609
