index,p_die
0,0.0264966036377811
1,0.0221794711664173
2,0.0178623386950536
3,0.0135452062236898
4,0.00922807375232602
5,0.00491094128096225
6,0.00442970030777664
7,0.00394845933459103
8,0.00346721836140542
9,0.00298597738821981
10,0.0025047364150342
11,0.00245949490474877
12,0.00241425339446334
13,0.00236901188417791
14,0.00232377037389248
15,0.00227852886360705
16,0.00276476088223004
17,0.00325099290085304
18,0.00373722491947604
19,0.00422345693809903
20,0.00470968895672203
21,0.00504717515680331
22,0.00538466135688459
23,0.00572214755696587
24,0.00605963375704716
25,0.00639711995712844
26,0.00649535473390717
27,0.00659358951068589
28,0.00669182428746462
29,0.00679005906424335
30,0.00688829384102207
31,0.00722605708439298
32,0.0075638203277639
33,0.00790158357113481
34,0.00823934681450572
35,0.00857711005787663
36,0.00929259105871421
37,0.0100080720595518
38,0.0107235530603894
39,0.011439034061227
40,0.0121545150620646
41,0.0134102726038268
42,0.0146660301455891
43,0.0159217876873514
44,0.0171775452291137
45,0.018433302770876
46,0.0203301593766152
47,0.0222270159823543
48,0.0241238725880935
49,0.0260207291938326
50,0.0279175857995718
51,0.0309267685834036
52,0.0339359513672353
53,0.0369451341510671
54,0.0399543169348989
55,0.0429634997187306
56,0.04706956395232
57,0.0511756281859094
58,0.0552816924194988
59,0.0593877566530883
60,0.0634938208866777
61,0.0699573355514232
62,0.0764208502161688
63,0.0828843648809144
64,0.08934787954566
65,0.0958113942104056
66,0.10481025992807
67,0.113809125645735
68,0.1228079913634
69,0.131806857081065
70,0.14080572279873
71,0.155272062302578
72,0.169738401806426
73,0.184204741310274
74,0.198671080814122
75,0.21313742031797
76,0.232838940878016
77,0.252540461438063
78,0.27224198199811
79,0.291943502558156
80,0.311645023118203
81,0.33852232857332
82,0.365399634028438
83,0.392276939483556
84,0.419154244938674
85,0.446031550393791
86,0.477599394293515
87,0.509167238193238
88,0.540735082092962
89,0.572302925992686
90,0.603870769892409
91,0.629013006120276
92,0.654155242348142
93,0.679297478576009
94,0.704439714803875
95,0.729581951031742
96,0.750445010364735
97,0.771308069697728
98,0.792171129030721
99,0.813034188363714
100,0.833897247696707
101,0.848079745343782
102,0.862262242990858
103,0.876444740637933
104,0.890627238285009
105,0.904809735932084
106,0.912988447497652
107,0.921167159063221
108,0.92934587062879
109,0.937524582194358
110,0.945703293759927
111,1
