index,p_die
0,0.032770365932902
1,0.0290821072599064
2,0.0253938485869108
3,0.0217055899139152
4,0.0180173312409195
5,0.0143290725679239
6,0.0121156514617266
7,0.00990223035552938
8,0.00768880924933213
9,0.00547538814313487
10,0.00326196703693761
11,0.00315322850879486
12,0.00304448998065211
13,0.00293575145250936
14,0.00282701292436661
15,0.00271827439622386
16,0.00315581505163982
17,0.00359335570705577
18,0.00403089636247173
19,0.00446843701788768
20,0.00490597767330364
21,0.00530804805191384
22,0.00571011843052404
23,0.00611218880913424
24,0.00651425918774445
25,0.00691632956635465
26,0.00715061941550569
27,0.00738490926465674
28,0.00761919911380778
29,0.00785348896295883
30,0.00808777881210987
31,0.00856380074272323
32,0.00903982267333658
33,0.00951584460394993
34,0.00999186653456328
35,0.0104678884651766
36,0.0112537767927114
37,0.0120396651202462
38,0.012825553447781
39,0.0136114417753158
40,0.0143973301028506
41,0.0157747862622394
42,0.0171522424216282
43,0.018529698581017
44,0.0199071547404058
45,0.0212846108997946
46,0.0229692246883567
47,0.0246538384769189
48,0.0263384522654811
49,0.0280230660540433
50,0.0297076798426054
51,0.0326938428301039
52,0.0356800058176023
53,0.0386661688051007
54,0.0416523317925991
55,0.0446384947800975
56,0.0482769099715332
57,0.0519153251629689
58,0.0555537403544045
59,0.0591921555458402
60,0.0628305707372758
61,0.0691699700372846
62,0.0755093693372934
63,0.0818487686373022
64,0.088188167937311
65,0.0945275672373197
66,0.103062363554198
67,0.111597159871077
68,0.120131956187955
69,0.128666752504834
70,0.137201548821712
71,0.15102780296533
72,0.164854057108947
73,0.178680311252565
74,0.192506565396182
75,0.2063328195398
76,0.224908837166223
77,0.243484854792646
78,0.262060872419068
79,0.280636890045491
80,0.299212907671914
81,0.325678263107605
82,0.352143618543297
83,0.378608973978988
84,0.405074329414679
85,0.43153968485037
86,0.456324331089272
87,0.481108977328173
88,0.505893623567075
89,0.530678269805976
90,0.555462916044878
91,0.580473407899459
92,0.605483899754041
93,0.630494391608623
94,0.655504883463205
95,0.680515375317787
96,0.703493868007282
97,0.726472360696778
98,0.749450853386273
99,0.772429346075768
100,0.795407838765263
101,0.812131184663503
102,0.828854530561742
103,0.845577876459982
104,0.862301222358221
105,0.87902456825646
106,0.889156884117087
107,0.899289199977713
108,0.909421515838339
109,0.919553831698965
110,0.929686147559591
111,1
