index,p_die
0,0.00564448017635772
1,0.00492346450343483
2,0.00420244883051195
3,0.00348143315758906
4,0.00276041748466617
5,0.00203940181174329
6,0.00194194497553461
7,0.00184448813932594
8,0.00174703130311726
9,0.00164957446690859
10,0.00155211763069991
11,0.00165850057268403
12,0.00176488351466814
13,0.00187126645665225
14,0.00197764939863636
15,0.00208403234062047
16,0.00239944398769539
17,0.00271485563477031
18,0.00303026728184522
19,0.00334567892892014
20,0.00366109057599505
21,0.00410928147891899
22,0.00455747238184293
23,0.00500566328476687
24,0.0054538541876908
25,0.00590204509061474
26,0.00638815466783137
27,0.006874264245048
28,0.00736037382226463
29,0.00784648339948126
30,0.00833259297669789
31,0.00880234193919621
32,0.00927209090169453
33,0.00974183986419285
34,0.0102115888266912
35,0.0106813377891895
36,0.011136326496054
37,0.0115913152029185
38,0.0120463039097831
39,0.0125012926166476
40,0.0129562813235121
41,0.0134533170531272
42,0.0139503527827423
43,0.0144473885123574
44,0.0149444242419725
45,0.0154414599715876
46,0.0160967998356494
47,0.0167521396997113
48,0.0174074795637731
49,0.018062819427835
50,0.0187181592918969
51,0.0197266718821616
52,0.0207351844724263
53,0.021743697062691
54,0.0227522096529558
55,0.0237607222432205
56,0.0254354607388678
57,0.0271101992345151
58,0.0287849377301625
59,0.0304596762258098
60,0.0321344147214571
61,0.0349690273066869
62,0.0378036398919167
63,0.0406382524771465
64,0.0434728650623764
65,0.0463074776476062
66,0.0510532950516395
67,0.0557991124556728
68,0.0605449298597061
69,0.0652907472637394
70,0.0700365646677727
71,0.0777534056628424
72,0.0854702466579122
73,0.0931870876529819
74,0.100903928648052
75,0.108620769643121
76,0.120590194806188
77,0.132559619969255
78,0.144529045132322
79,0.156498470295389
80,0.168467895458456
81,0.185779159308193
82,0.203090423157929
83,0.220401687007665
84,0.237712950857401
85,0.255024214707138
86,0.277734982874163
87,0.300445751041189
88,0.323156519208215
89,0.34586728737524
90,0.368578055542266
91,0.394880681616719
92,0.421183307691172
93,0.447485933765624
94,0.473788559840077
95,0.50009118591453
96,0.52651682627931
97,0.55294246664409
98,0.579368107008869
99,0.605793747373649
100,0.632219387738429
101,0.655247034466388
102,0.678274681194347
103,0.701302327922307
104,0.724329974650266
105,0.747357621378225
106,0.765069125158695
107,0.782780628939164
108,0.800492132719633
109,0.818203636500102
110,0.835915140280572
111,0.850294614845938
