index,p_die
0,0.0509804257386443
1,0.0446622027285074
2,0.0383439797183705
3,0.0320257567082337
4,0.0257075336980968
5,0.0193893106879599
6,0.0168780020646792
7,0.0143666934413984
8,0.0118553848181177
9,0.00934407619483695
10,0.00683276757155621
11,0.00663135289570462
12,0.00642993821985304
13,0.00622852354400146
14,0.00602710886814988
15,0.00582569419229829
16,0.00713652758656828
17,0.00844736098083828
18,0.00975819437510827
19,0.0110690277693783
20,0.0123798611636483
21,0.0134228086527142
22,0.0144657561417801
23,0.015508703630846
24,0.016551651119912
25,0.0175945986089779
26,0.0191879859041605
27,0.0207813731993431
28,0.0223747604945257
29,0.0239681477897083
30,0.0255615350848909
31,0.0277923084106482
32,0.0300230817364054
33,0.0322538550621627
34,0.0344846283879199
35,0.0367154017136772
36,0.0389334817587157
37,0.0411515618037543
38,0.0433696418487929
39,0.0455877218938315
40,0.0478058019388701
41,0.0501907723526941
42,0.0525757427665181
43,0.0549607131803421
44,0.057345683594166
45,0.05973065400799
46,0.0622339379811677
47,0.0647372219543453
48,0.067240505927523
49,0.0697437899007007
50,0.0722470738738783
51,0.0756419398981307
52,0.0790368059223831
53,0.0824316719466355
54,0.085826537970888
55,0.0892214039951404
56,0.093654543033264
57,0.0980876820713877
58,0.102520821109511
59,0.106953960147635
60,0.111387099185759
61,0.118624891648935
62,0.125862684112111
63,0.133100476575287
64,0.140338269038463
65,0.147576061501639
66,0.156820949600768
67,0.166065837699896
68,0.175310725799025
69,0.184555613898154
70,0.193800501997282
71,0.208051254468813
72,0.222302006940344
73,0.236552759411875
74,0.250803511883405
75,0.265054264354936
76,0.282820290510334
77,0.300586316665733
78,0.318352342821131
79,0.336118368976529
80,0.353884395131927
81,0.377625214938702
82,0.401366034745477
83,0.425106854552252
84,0.448847674359027
85,0.472588494165802
86,0.496424136168614
87,0.520259778171426
88,0.544095420174239
89,0.567931062177051
90,0.591766704179864
91,0.615364177035618
92,0.638961649891373
93,0.662559122747127
94,0.686156595602881
95,0.709754068458636
96,0.730595078721723
97,0.75143608898481
98,0.772277099247897
99,0.793118109510984
100,0.813959119774071
101,0.828874977362776
102,0.843790834951481
103,0.858706692540186
104,0.87362255012889
105,0.888538407717595
106,0.897503589964409
107,0.906468772211222
108,0.915433954458035
109,0.924399136704849
110,0.933364318951662
111,1
