index,p_die
0,0.0403332364614273
1,0.0347853202155249
2,0.0292374039696225
3,0.0236894877237201
4,0.0181415714778177
5,0.0125936552319153
6,0.0112281344800437
7,0.00986261372817215
8,0.00849709297630058
9,0.007131572224429
10,0.00576605147255743
11,0.0057200874302733
12,0.00567412338798917
13,0.00562815934570503
14,0.0055821953034209
15,0.00553623126113677
16,0.00606843004667507
17,0.00660062883221337
18,0.00713282761775167
19,0.00766502640328997
20,0.00819722518882827
21,0.00910126598370473
22,0.0100053067785812
23,0.0109093475734577
24,0.0118133883683341
25,0.0127174291632106
26,0.013943875174987
27,0.0151703211867634
28,0.0163967671985398
29,0.0176232132103162
30,0.0188496592220926
31,0.0204082734221128
32,0.021966887622133
33,0.0235255018221532
34,0.0250841160221735
35,0.0266427302221937
36,0.0285820736430937
37,0.0305214170639936
38,0.0324607604848936
39,0.0344001039057936
40,0.0363394473266936
41,0.0387549703036709
42,0.0411704932806482
43,0.0435860162576256
44,0.0460015392346029
45,0.0484170622115802
46,0.0514772538085722
47,0.0545374454055641
48,0.0575976370025561
49,0.060657828599548
50,0.06371802019654
51,0.0677088232471775
52,0.071699626297815
53,0.0756904293484525
54,0.0796812323990899
55,0.0836720354497274
56,0.089059691751401
57,0.0944473480530746
58,0.0998350043547482
59,0.105222660656422
60,0.110610316958095
61,0.11810913366954
62,0.125607950380984
63,0.133106767092428
64,0.140605583803872
65,0.148104400515316
66,0.15869450940058
67,0.169284618285843
68,0.179874727171106
69,0.19046483605637
70,0.201054944941633
71,0.21581587398344
72,0.230576803025246
73,0.245337732067053
74,0.26009866110886
75,0.274859590150667
76,0.294431168061128
77,0.314002745971589
78,0.33357432388205
79,0.353145901792511
80,0.372717479702973
81,0.396415686851331
82,0.420113893999689
83,0.443812101148047
84,0.467510308296405
85,0.491208515444763
86,0.516498039557141
87,0.541787563669518
88,0.567077087781896
89,0.592366611894273
90,0.617656136006651
91,0.640990513661315
92,0.664324891315979
93,0.687659268970644
94,0.710993646625308
95,0.734328024279972
96,0.753011890426224
97,0.771695756572476
98,0.790379622718728
99,0.809063488864979
100,0.827747355011231
101,0.841025921568171
102,0.854304488125111
103,0.86758305468205
104,0.88086162123899
105,0.89414018779593
106,0.902776581550946
107,0.911412975305962
108,0.920049369060979
109,0.928685762815995
110,0.937322156571012
111,0.94374200802471
