Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
51,0.7892,0.121,0.01,0.0114,0.0684,0.9202,239.4416,0.9129,49.7784,3638.5927,49.6513,0.9202,51.483,0.1963,49.7784,1168.1553,24.9809,0.003137377,0.008,0.016
52,0.7804,0.125,0.0107,0.0126,0.0713,0.9161,248.8955,0.9085,50.6945,3887.4882,50.5598,0.9161,51.957,0.1896,50.6945,1220.1123,25.1706,0.003437649,0.008,0.016
53,0.7715,0.1288,0.0114,0.0139,0.0744,0.9117,257.9393,0.9038,51.6062,4145.4276,51.4636,0.9117,52.2766,0.1832,51.6062,1272.3889,25.3537,0.003777345,0.008,0.016
54,0.7624,0.1325,0.012,0.0152,0.0779,0.9069,266.5625,0.8987,52.5131,4411.99,52.3623,0.9069,52.4507,0.1768,52.5131,1324.8396,25.5306,0.004160869,0.008,0.016
55,0.7531,0.1359,0.0127,0.0167,0.0817,0.9017,274.7526,0.8932,53.4148,4686.7426,53.2555,0.9017,52.4877,0.1706,53.4148,1377.3273,25.7012,0.004593134,0.008,0.016
56,0.7436,0.1391,0.0133,0.0182,0.0858,0.896,282.495,0.8873,54.3108,4969.2376,54.1428,0.896,52.3949,0.1646,54.3108,1429.7222,25.8658,0.005079611,0.008,0.016
57,0.7339,0.1421,0.0138,0.0198,0.0904,0.8899,289.7729,0.881,55.2007,5259.0106,55.0238,0.8899,52.1794,0.1586,55.2007,1481.9015,26.0244,0.005626391,0.008,0.016
58,0.7239,0.1449,0.0144,0.0214,0.0954,0.8832,296.5668,0.8741,56.0839,5555.5774,55.8979,0.8832,51.8473,0.1528,56.0839,1533.7489,26.1772,0.00624025,0.008,0.016
59,0.7136,0.1475,0.0149,0.0232,0.1009,0.876,302.8545,0.8667,56.9599,5858.4319,56.7646,0.876,51.4044,0.1471,56.9599,1585.1533,26.3243,0.006928722,0.008,0.016
60,0.7029,0.1498,0.0153,0.0249,0.1069,0.8681,308.6112,0.8586,57.828,6167.0431,57.6232,0.8681,50.8559,0.1415,57.828,1636.0092,26.4658,0.007700174,0.008,0.016
