Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
50,0.7979,0.1169,0.0082,0.0114,0.0657,0.9229,151.583,0.9158,48.8473,2505.5208,48.7267,0.9229,33.5701,0.2028,48.8473,850.5995,24.7812,0.002872572,0.008,0.016
51,0.7892,0.121,0.0088,0.0126,0.0684,0.919,158.3986,0.9116,49.7664,2663.9194,49.6382,0.919,34.0577,0.196,49.7664,884.6572,24.9772,0.003137377,0.008,0.016
52,0.7804,0.125,0.0094,0.0139,0.0713,0.9148,164.9047,0.9071,50.6812,2828.8241,50.5453,0.9148,34.4239,0.1894,50.6812,919.0812,25.1666,0.003437649,0.008,0.016
53,0.7715,0.1288,0.0099,0.0153,0.0744,0.9103,171.1022,0.9023,51.5915,2999.9263,51.4476,0.9103,34.6773,0.1829,51.5915,953.7585,25.3495,0.003777345,0.008,0.016
54,0.7624,0.1325,0.0105,0.0168,0.0779,0.9053,176.9894,0.8971,52.4968,3176.9157,52.3446,0.9053,34.8257,0.1765,52.4968,988.5842,25.526,0.004160869,0.008,0.016
55,0.7531,0.1359,0.011,0.0184,0.0816,0.9,182.5626,0.8915,53.3968,3359.4783,53.2361,0.9,34.8761,0.1703,53.3968,1023.4602,25.6963,0.004593134,0.008,0.016
56,0.7436,0.1391,0.0115,0.02,0.0858,0.8942,187.8162,0.8855,54.291,3547.2945,54.1216,0.8942,34.8346,0.1642,54.291,1058.2948,25.8605,0.005079611,0.008,0.016
57,0.7339,0.1421,0.0119,0.0217,0.0903,0.888,192.7421,0.879,55.179,3740.0366,55.0005,0.888,34.707,0.1583,55.179,1093.0019,26.0188,0.005626391,0.008,0.016
58,0.7239,0.1449,0.0123,0.0235,0.0953,0.8812,197.3301,0.872,56.0601,3937.3667,55.8725,0.8812,34.4983,0.1524,56.0601,1127.5001,26.1712,0.00624025,0.008,0.016
59,0.7136,0.1475,0.0127,0.0254,0.1008,0.8738,201.5681,0.8644,56.934,4138.9348,56.737,0.8738,34.2128,0.1467,56.934,1161.7129,26.3179,0.006928722,0.008,0.016
60,0.7029,0.1498,0.0131,0.0273,0.1068,0.8659,205.4414,0.8563,57.7998,4344.3762,57.5933,0.8659,33.8546,0.1411,57.7998,1195.5675,26.4591,0.007700174,0.008,0.016
61,0.6919,0.1519,0.0134,0.0292,0.1135,0.8572,208.9331,0.8475,58.6571,4553.3093,58.4408,0.8572,33.4272,0.1356,58.6571,1228.9946,26.5947,0.00856389,0.008,0.016
62,0.6805,0.1537,0.0137,0.0313,0.1209,0.8479,212.0241,0.838,59.505,4765.3335,59.2788,0.8479,32.9337,0.1302,59.505,1261.9283,26.7248,0.009530159,0.008,0.016
63,0.6685,0.1552,0.014,0.0333,0.1289,0.8377,214.6928,0.8278,60.3427,4980.0263,60.1066,0.8377,32.3769,0.1248,60.3427,1294.3052,26.8497,0.010610365,0.008,0.016
64,0.6561,0.1564,0.0142,0.0354,0.1378,0.8268,216.9153,0.8167,61.1695,5196.9416,60.9233,0.8268,31.7593,0.1196,61.1695,1326.0645,26.9692,0.011817092,0.008,0.016
65,0.6431,0.1573,0.0144,0.0376,0.1476,0.8149,218.6655,0.8047,61.9843,5415.6071,61.728,0.8149,31.083,0.1144,61.9843,1357.1475,27.0836,0.013164221,0.01,0.02
66,0.6282,0.1586,0.0152,0.0397,0.1583,0.802,223.2467,0.7916,62.7863,5638.8538,62.5196,0.802,30.81,0.1093,62.7863,1387.9575,27.1929,0.014667038,0.01,0.02
67,0.6127,0.1593,0.0159,0.042,0.1701,0.7879,226.8567,0.7774,63.5742,5865.7105,63.2971,0.7879,30.3963,0.1042,63.5742,1418.3537,27.297,0.016342341,0.01,0.02
68,0.5965,0.1597,0.0164,0.0444,0.183,0.7727,229.506,0.7621,64.3468,6095.2165,64.0591,0.7727,29.8556,0.0991,64.3468,1448.2093,27.3962,0.018208547,0.01,0.02
69,0.5797,0.1595,0.0169,0.0468,0.197,0.7561,231.1972,0.7455,65.103,6326.4137,64.8046,0.7561,29.1996,0.0942,65.103,1477.4089,27.4903,0.020285792,0.01,0.02
70,0.5622,0.1589,0.0172,0.0494,0.2124,0.7383,231.9262,0.7276,65.8412,6558.3398,65.5322,0.7383,28.4385,0.0892,65.8412,1505.8474,27.5795,0.022596029,0.01,0.02
71,0.5438,0.1578,0.0174,0.052,0.229,0.719,231.6842,0.7084,66.5602,6790.0241,66.2406,0.719,27.5814,0.0843,66.5602,1533.4288,27.6639,0.02516311,0.01,0.02
