index,p_die
0,0.0203444700924202
1,0.016560151524764
2,0.0127612144850181
3,0.00894760250337889
4,0.00511925889190512
5,0.00127612674367528
6,0.00110644168133744
7,0.00093672778918874
8,0.000766985062330861
9,0.000597213495864946
10,0.000427413084890804
11,0.000419282321290071
12,0.000411151491551798
13,0.000403020595675319
14,0.0003948896336603
15,0.000386758605505966
16,0.000460702333266783
17,0.000534640591237312
18,0.000608573379822008
19,0.000682500699425659
20,0.000756422550452607
21,0.000814220401921917
22,0.000872014910270669
23,0.000929806075692485
24,0.000987593898380545
25,0.00104537837852814
26,0.00105923102378691
27,0.00107308347694901
28,0.00108693573801721
29,0.00110078780699419
30,0.00111463968388248
31,0.00114654986697793
32,0.00117845903067726
33,0.00121036717501311
34,0.00124227430001811
35,0.00127418040572469
36,0.00137266587773732
37,0.00147114163798712
38,0.00156960768743197
39,0.00166806402702924
40,0.00176651065773659
41,0.00196400885585968
42,0.00216146797941874
43,0.00235888803614481
44,0.00255626903376704
45,0.00275361098001325
46,0.00309490272114688
47,0.00343607766060161
48,0.00377713583835082
49,0.00411807729435454
50,0.00445890206855881
51,0.00501911719453252
52,0.0055790170738651
53,0.00613860188395332
54,0.00669787180209425
55,0.00725682700548536
56,0.00815202913127266
57,0.00904642401217759
58,0.00994001237612974
59,0.0108327949504027
60,0.0117247724616139
61,0.0131157831922367
62,0.0145048360564688
63,0.0158919338100337
64,0.0172770792047761
65,0.0186602749886672
66,0.0207373686767341
67,0.0228100660094117
68,0.0248783762919808
69,0.0269423088100272
70,0.0290018728294827
71,0.0319278788528111
72,0.0348450676487845
73,0.0377534657872382
74,0.040653099757942
75,0.0435439959708414
76,0.0473440481198607
77,0.051129002453325
78,0.0548989189556833
79,0.0586538573730634
80,0.0623938772142181
81,0.066838251111175
82,0.0712615581028976
83,0.0756638980492325
84,0.0800453703366778
85,0.0844060738806269
86,0.089007530289656
87,0.0935858613802659
88,0.0981411833722585
89,0.102673611901355
90,0.107183262022133
91,0.111382846943778
92,0.115562678076361
93,0.119722848336725
94,0.123863450204659
95,0.12798457572495
96,0.131399076389816
97,0.134800207090728
98,0.138188020179685
99,0.141562567803693
100,0.144923901905573
101,0.147449497245372
102,0.14996763286102
103,0.152478330785929
104,0.154981612988433
105,0.157477501371978
106,0.159218484648005
107,0.160955870366967
108,0.162689665962834
109,0.164419878854213
110,0.166146516444384
111,0.600111396048646
