index,p_die
0,0.0261334234290759
1,0.0212045657954127
2,0.0162507626115506
3,0.0112718876250145
4,0.00626781394435061
5,0.00123841403589153
6,0.00108801751566012
7,0.000937598348268898
8,0.000787156530307587
9,0.000636692058365251
10,0.000486204929030731
11,0.000484734066543147
12,0.00048326320189096
13,0.000481792335074283
14,0.000480321466093225
15,0.000478850594947566
16,0.000562512406360627
17,0.000646167215121785
18,0.000729815021817237
19,0.000813455827032961
20,0.00089708963135493
21,0.000975567336985672
22,0.00105403887833622
23,0.00113250425589073
24,0.0012109634701335
25,0.00128941652154846
26,0.00132124925341981
27,0.00135308097066
28,0.00138491167330146
29,0.00141674136137659
30,0.0014485700349175
31,0.00149536424904984
32,0.00154215627030718
33,0.00158894609879234
34,0.0016357337346079
35,0.00168251917785678
36,0.00180206990337484
37,0.00192160631242921
38,0.00204112840673421
39,0.00216063618800422
40,0.00228012965795321
41,0.00251082762850308
42,0.00274147225586985
43,0.00297206355238799
44,0.00320260153038887
45,0.00343308620220106
46,0.0038211499604297
47,0.00420906260639653
48,0.00459682419894469
49,0.00498443479689448
50,0.00537189445904329
51,0.00599022715489073
52,0.00660817545045767
53,0.00722573958471506
54,0.00784291979648544
55,0.00845971632444276
56,0.00941650876875999
57,0.0103723779507584
58,0.0113273247613453
59,0.0122813500905682
60,0.0132344548276157
61,0.0146728349135943
62,0.016109118313808
63,0.0175433080845363
64,0.0189754072776032
65,0.0204054189403844
66,0.0224851876991194
67,0.0245605409188412
68,0.0266314879741424
69,0.0286980382197123
70,0.0307602009903797
71,0.0336065833581648
72,0.0364446067083033
73,0.0392742955888592
74,0.0420956744758054
75,0.0449087677732363
76,0.0485247719669648
77,0.0521270858598217
78,0.0557157612836988
79,0.0592908498742506
80,0.0628524030716377
81,0.0670340703644989
82,0.0711970785460255
83,0.0753415108754562
84,0.0794674502405167
85,0.083574979159078
86,0.0879147262054179
87,0.0922339223021461
88,0.0965326647686513
89,0.100811050463465
90,0.105069175786442
91,0.109094737493207
92,0.113102191490843
93,0.117091619231122
94,0.121063101799429
95,0.125016719916414
96,0.128380527229715
97,0.131731402639174
98,0.135069395860521
99,0.138394556418359
100,0.141706933646896
101,0.144281687009287
102,0.146848716489082
103,0.149408045256797
104,0.151959696413439
105,0.154503692990715
106,0.156345778130399
107,0.158183849914101
108,0.160017917085731
109,0.161847988370147
110,0.1636740724732
111,0.594410432264964
