index,p_die
0,0.0322287300309398
1,0.0265648406679208
2,0.0208678033455523
3,0.015137424065128
4,0.00937350769256262
5,0.00357585795174686
6,0.00299062448326937
7,0.00240504728745916
8,0.00181912616243352
9,0.00123286090619135
10,0.000646251316612667
11,0.000664449025024827
12,0.000682646402066389
13,0.000700843447743127
14,0.000719040162061257
15,0.000737236545026776
16,0.000765940435495605
17,0.000794643501443204
18,0.000823345742893333
19,0.00085204715986964
20,0.000880747752395772
21,0.00092572446468342
22,0.000970699152283205
23,0.00101567181528628
24,0.00106064245378379
25,0.00110561106786677
26,0.00117584986341956
27,0.00124608372002355
28,0.00131631263802579
29,0.00138653661777355
30,0.00145675565961423
31,0.00156614547759903
32,0.00167552331199428
33,0.0017848891641129
34,0.00189424303526764
35,0.00200358492677077
36,0.00217340255043452
37,0.0023431912781775
38,0.00251295111491667
39,0.00268268206556799
40,0.00285238413504674
41,0.00311482922049633
42,0.00337720523149621
43,0.00363951218622638
44,0.00390175010286231
45,0.00416391899957436
46,0.00456681010635351
47,0.00496953821317014
48,0.00537210338597005
49,0.00577450569067239
50,0.00617674519316958
51,0.00678900301110874
52,0.00740088363960922
53,0.00801238731104348
54,0.00862351425764096
55,0.00923426471148781
56,0.0101505494289644
57,0.0110659867436157
58,0.0119805774391405
59,0.0128943222985134
60,0.0138072221039844
61,0.0151475554331989
62,0.0164860671171186
63,0.0178227596315397
64,0.0191576354488927
65,0.0204906970382486
66,0.0223871820097258
67,0.0242799950862693
68,0.0261691433772487
69,0.0280546339782686
70,0.0299364739711953
71,0.0324970430876232
72,0.0350508533537038
73,0.0375979226100245
74,0.0401382686500814
75,0.042671909220403
76,0.0459181748806745
77,0.0491534325690307
78,0.0523777196131146
79,0.0555910732139925
80,0.0587935304465831
81,0.0625948747801229
82,0.0663808662456051
83,0.0701515668501872
84,0.0739070383505925
85,0.0776473422541213
86,0.0817046816315774
87,0.0857441731688549
88,0.0897658953768618
89,0.0937699264211442
90,0.0977563441234062
91,0.101679524644007
92,0.105585646196891
93,0.109474782958708
94,0.113347008783566
95,0.117202397204439
96,0.120649740606537
97,0.124083622059378
98,0.127504094132162
99,0.130911209188803
100,0.134305019388731
101,0.137089142732951
102,0.139864312181204
103,0.142630556529719
104,0.145387904482113
105,0.148136384649694
106,0.150236133818279
107,0.152330707338448
108,0.1544201179676
109,0.156504378431688
110,0.158583501425296
111,0.582531786875459
