index,p_die
0,0.0305666781294064
1,0.0247694713958527
2,0.0189375973931293
3,0.0130708488111283
4,0.00716901710002882
5,0.00123189246288269
6,0.00110338690329059
7,0.000974864809651588
8,0.000846326179838153
9,0.000717771011722768
10,0.000589199303177579
11,0.000586355114256754
12,0.000583510917241736
13,0.000580666712132527
14,0.000577822498929015
15,0.000574978277631311
16,0.000624282668278853
17,0.000673584626604828
18,0.000722884152729364
19,0.000772181246772363
20,0.000821475908853953
21,0.000895628484970601
22,0.000969775557962071
23,0.0010439171282367
24,0.00111805319620295
25,0.00119218376226904
26,0.00126903408060397
27,0.00134587848591805
28,0.00142271697866636
29,0.00149954955930365
30,0.00157637622828488
31,0.00165620671297828
32,0.00173603081470342
33,0.00181584853397077
34,0.00189565987129048
35,0.00197546482717292
36,0.00207888848637405
37,0.00218230142794962
38,0.0022857036530104
39,0.00238909516266661
40,0.00249247595802893
41,0.00265576368744158
42,0.00281902468734896
43,0.00298225896212667
44,0.00314546651614933
45,0.00330864735379122
46,0.00358473356831612
47,0.00386074330620889
48,0.00413667658865391
49,0.00441253343682946
50,0.00468831387190805
51,0.00515369232253349
52,0.00561885317589228
53,0.00608379653372659
54,0.00654852249773086
55,0.0070130311695521
56,0.00777795153016225
57,0.00854228265528734
58,0.00930602499882904
59,0.0100691790143391
60,0.0108317451550199
61,0.0120481154899074
62,0.0132629900663286
63,0.0144763707236031
64,0.0156882592987881
65,0.0168986576266823
66,0.0187533423125548
67,0.0206045280150206
68,0.0224522213351397
69,0.0242964288615188
70,0.0261371571703349
71,0.0288093549780996
72,0.0314742204996226
73,0.0341317738540812
74,0.0367820351054473
75,0.0394250242626392
76,0.0429894775371398
77,0.0465407040178273
78,0.0500787527860226
79,0.0536036727409177
80,0.0571155126002526
81,0.0614176516056532
82,0.0657001610591106
83,0.0699631305252133
84,0.0742066491598897
85,0.0784308057122726
86,0.0830406141226695
87,0.0876273636746409
88,0.0921911697115815
89,0.0967321469999235
90,0.101250409732023
91,0.105601402710595
92,0.109931331824321
93,0.114240299046798
94,0.118528405857951
95,0.122795753246426
96,0.126438506468284
97,0.130066132482216
98,0.133678694106754
99,0.137276253899569
100,0.140858874158547
101,0.143615931802724
102,0.146364141812181
103,0.149103532579739
104,0.151834132407102
105,0.154555969505153
106,0.156488244447253
107,0.158416103146152
108,0.16033955569524
109,0.162258612164836
110,0.164173282602248
111,0.595735415461149
