index,p_die
0,0.0311414180239157
1,0.0252558919682635
2,0.0193346131024528
3,0.0133773642388573
4,0.0073839268705006
5,0.00135408116304214
6,0.00124943030872682
7,0.00114476848776057
8,0.00104009569899399
9,0.000935411941277886
10,0.000830717213462617
11,0.000895573805381966
12,0.000960426187426533
13,0.00102527435986965
14,0.00109011832298456
15,0.00115495807704447
16,0.00124490920480824
17,0.0013348522320108
18,0.00142478715938166
19,0.00151471398765024
20,0.00160463271754596
21,0.00172918251986665
22,0.001853716784602
23,0.00197823551369014
24,0.00210273870906941
25,0.00222722637267747
26,0.00239928964113012
27,0.00257132323772857
28,0.00274332716758952
29,0.00291530143582897
30,0.00308724604756205
31,0.00332420008239476
32,0.00356109779613578
33,0.00379793920217186
34,0.00403472431388685
35,0.00427145314466115
36,0.00459635711996609
37,0.00492115507983781
38,0.0052458470588691
39,0.00557043309164118
40,0.00589491321272395
41,0.00633776890763338
42,0.00678042731840334
43,0.0072228885329203
44,0.00766515263903178
45,0.00810721972454598
46,0.00870597524211225
47,0.00930436932124801
48,0.00990240218013527
49,0.0105000740368245
50,0.0110973851092343
51,0.011898105554608
52,0.0126981776517803
53,0.0134976019257228
54,0.0142963789009819
55,0.0150945091016792
56,0.0161497644274691
57,0.01720388912315
58,0.0182568844001104
59,0.0193087514684415
60,0.0203594915369374
61,0.0217236602703996
62,0.0230859293719894
63,0.0244463014869817
64,0.0258047792569677
65,0.0271613653198602
66,0.0288815567379671
67,0.0305987064815254
68,0.0323128199288809
69,0.034023902448869
70,0.0357319594008323
71,0.0378342035505264
72,0.0399318645031438
73,0.0420249522507186
74,0.0441134767635009
75,0.0461974479900041
76,0.048670249562485
77,0.0511366402194111
78,0.0535966365815411
79,0.0560502552265433
80,0.058497512689107
81,0.0612784630091879
82,0.0640511991346312
83,0.0668157453280036
84,0.069572125780207
85,0.0723203646106897
86,0.0752939756349484
87,0.0782580549607779
88,0.0812126331413585
89,0.0841577406319353
90,0.0870934077901305
91,0.0901060828553019
92,0.0931088158178248
93,0.0961016394875451
94,0.0990845865660335
95,0.102057689646942
96,0.104947599302793
97,0.107828208163122
98,0.11069954616132
99,0.113561643134443
100,0.116414528823519
101,0.11904497888788
102,0.121667598054421
103,0.124282409635865
104,0.126889436875537
105,0.129488702947565
106,0.131771214356269
107,0.134047740939332
108,0.13631829838918
109,0.13858290235709
110,0.140841568453303
111,0.537413449814641
